,title,channel,running_time,watch_date,watch_time,category_id,category_title,watched (%),account
0,Digimon Adventure tri - Warp Evolution,Dogecoin Live,5:41,2023-03-28,오후 6:29,1,Film & Animation,0.13,kjaehw0207
1,[디지몬 프론티어 세계관 정리] 최악의 어둠의 투사가 진정한 모습을 찾게 되는 과정 : 6편,엘로아비디오 EloaVideo,8:19,2023-03-28,오후 6:21,1,Film & Animation,1.0,kjaehw0207
2,기억은 잃었지만 개같이 진화[디지몬 어드벤처 트라이 4장 : 상실],애니무비,12:02,2023-03-28,오후 6:20,1,Film & Animation,0.1,kjaehw0207
3,[자막뉴스] 뒤돌아서 한눈판 일본 관광객...172번 버스기사님의 직감 / KBS 2023.03.27,KBS News,1:43,2023-03-28,오후 6:16,25,News & Politics,1.0,kjaehw0207
4,트위치스트리머쇼메쇼메하이라이트1,Dplus KIA,8:03,2023-03-28,오후 6:12,20,Gaming,0.32,kjaehw0207
5,ShowMaker 인터뷰 | 디플 기아 vs. 브리온 | 03.12 | 2023 LCK 스프링 스플릿,LCK,5:44,2023-03-28,오후 6:09,20,Gaming,1.0,kjaehw0207
6,김건부 굉장하다,Dplus KIA,6:02,2023-03-28,오후 6:08,20,Gaming,0.1,kjaehw0207
7,"AI 시대, 낙후되지 않기 위해 꼭 필요한 학문 '수학' 차이나는 클라스(jtbclecture) 172회 | JTBC 20200901 방송",차이나는 클라스,3:13,2023-03-28,오후 6:05,24,Entertainment,1.0,kjaehw0207
8,데프가 다이아 현지인들 다루는 방법 ㅋㅋㅋ 쵸비같은 소리하고있네,알파카이브 alpachive,0:28,2023-03-28,오후 6:04,20,Gaming,1.0,kjaehw0207
9,파워디지몬 보면서 눈물흘렸던장면들,뚠뚠이,12:45,2023-03-28,오후 6:03,22,People & Blogs,0.1,kjaehw0207
10,다음 패치 좀 어지럽네요.. 13.7 패치 밸런싱 명단,롤박사 해도리,1:18,2023-03-28,오후 6:01,20,Gaming,1.0,kjaehw0207
11,방송태도 레전드,박나나,10:04,2023-03-28,오후 2:13,20,Gaming,0.54,kjaehw0207
12,10x10 Roller Coasters - Smallbuilds Archive,Smallbuilds,3:04,2023-03-28,오전 9:15,20,Gaming,0.41,kjaehw0207
13,Digimon Adventure OST #26 - Shitou,OSTDigimon,1:36,2023-03-28,오전 9:11,10,Music,1.0,kjaehw0207
14,Digimon Adventure OST #25 - Brave Heart (TV Size),OSTDigimon,2:07,2023-03-28,오전 9:08,10,Music,1.0,kjaehw0207
15,Digimon Adventure OST #19 - Aku no Theme,OSTDigimon,1:57,2023-03-28,오전 9:06,10,Music,1.0,kjaehw0207
16,Digimon Adventure OST #18 - Eyecatch,OSTDigimon,0:13,2023-03-28,오전 9:06,10,Music,1.0,kjaehw0207
17,Digimon Adventure OST #17 - Kuroi Inbou,OSTDigimon,1:17,2023-03-28,오전 9:05,10,Music,1.0,kjaehw0207
18,Digimon Adventure OST #16 - Kyoufu no Ashiato,OSTDigimon,1:20,2023-03-28,오전 9:03,10,Music,1.0,kjaehw0207
19,Digimon Adventure OST #15 - Hirogaru Fuan,OSTDigimon,1:15,2023-03-28,오전 9:02,10,Music,1.0,kjaehw0207
20,Digimon Adventure OST #14 - Ijou Jitai Hassei!!,OSTDigimon,1:33,2023-03-28,오전 9:00,10,Music,1.0,kjaehw0207
21,Digimon Adventure OST #13 - Iya na Yokan,OSTDigimon,1:21,2023-03-28,오전 8:59,10,Music,1.0,kjaehw0207
22,Digimon Adventure OST #4 - Adventurer ~Taichi no Theme~,OSTDigimon,2:40,2023-03-28,오전 8:58,10,Music,1.0,kjaehw0207
23,Digimon Adventure OST #3 - Subtitle,OSTDigimon,0:13,2023-03-28,오전 8:58,10,Music,1.0,kjaehw0207
24,Digimon Adventure OST #2 - Avant,OSTDigimon,0:33,2023-03-28,오전 8:57,10,Music,1.0,kjaehw0207
25,Digimon Adventure OST #1 - Butter-Fly (TV Size),OSTDigimon,1:40,2023-03-28,오전 8:55,10,Music,1.0,kjaehw0207
26,브이몬 진화 #shorts,펭수,0:32,2023-03-28,오전 2:02,1,Film & Animation,1.0,kjaehw0207
27,상대 공격력 -80 만드는 방법 ㅋㅋㅋ 딜제거 트린다미어 [테스터훈 뉴메타],테스터훈 마이너스,8:15,2023-03-28,오전 1:52,20,Gaming,1.0,kjaehw0207
28,"디지몬 어드벤처 02(제로투, 파워디지몬) 명장면-기억의 조각들이 맞춰지는 순간",쿠릴릴,3:47,2023-03-28,오전 1:46,22,People & Blogs,1.0,kjaehw0207
29,워그레이몬 VS 파워드라몬,최윤석유튜브,2:37,2023-03-28,오전 1:42,1,Film & Animation,1.0,kjaehw0207
30,"안드로몬, 엔젤몬, 엔젤우몬, 버드라몬 VS 파워드라몬",최윤석유튜브,1:06,2023-03-28,오전 1:41,1,Film & Animation,1.0,kjaehw0207
31,안드로몬 VS 피에몬,최윤석유튜브,0:39,2023-03-28,오전 1:40,1,Film & Animation,1.0,kjaehw0207
32,"고고한 사이보그, 안드로몬",더덕 ỉ,2:55,2023-03-28,오전 1:38,1,Film & Animation,1.0,kjaehw0207
33,레오몬도 웃고 갈 호구 안드로몬 ㅋㅋㅋㅋㅋㅋ,워그레이몬,1:14,2023-03-28,오전 12:56,22,People & Blogs,1.0,kjaehw0207
34,나루토 졸업 첫날!,자막.,0:27,2023-03-28,오전 12:55,22,People & Blogs,1.0,kjaehw0207
35,럼블 청소년,PAKA,22:10,2023-03-27,오후 11:40,20,Gaming,0.55,kjaehw0207
36,뒤에서 대체 뭘 하고 있는 거야,ㅎyㅎ,17:12,2023-03-27,오후 11:39,22,People & Blogs,0.1,kjaehw0207
37,세나하자,알빠노,20:02,2023-03-27,오후 11:29,20,Gaming,1.0,kjaehw0207
38,럭스1위 세계수 빛으로 벌목하기 [여왕럭스],여왕럭스,8:11,2023-03-27,오후 11:21,20,Gaming,1.0,kjaehw0207
39,모두의 AI 학교 : 설립자가 소개하는 아이펠(AIFFEL)만의 장점,모두의연구소,3:55,2023-03-27,오후 12:28,27,Education,0.34,kjaehw0207
40,학원에서는 실전 영어를 못 배운다? 영어 회화 학원에 대한 오해,릭이의 필살기,23:12,2023-03-27,오전 12:26,27,Education,0.27,kjaehw0207
