,searchword,search_date,search_time
486,https://www.youtube.com/watch?v=hUWmvqr7PCg,2022-11-18,오후 3:07
487,mbc,2022-11-18,오후 3:07
488,mbx,2022-11-18,오후 3:06
489,대통령실 비서관 mbc,2022-11-18,오후 2:40
490,만 당,2022-11-18,오전 1:03
491,받젭,2022-11-18,오전 12:55
492,받뎁,2022-11-18,오전 12:55
493,팡이요,2022-11-17,오후 11:17
494,https://www.youtube.com/watch?v=UZ-HAfUOZsM,2022-11-17,오후 11:14
495,G식백과,2022-11-17,오후 11:08
